name,source,gender,wikidata,type
Augustinplatz,wikidata,+,Q12218328;Q446684,way
Bloch-Bauer-Promenade,wikidata,+,Q90205;Q1280247,way
Proschkogasse,wikidata,+,Q87313;Q59653275,way
Tausigplatz,wikidata,+,Q90438;Q90466,way
Adalbert-Stifter-Straße,wikidata,-,Q38956584,way
"Aderklaaer Straße",wikidata,-,Q356391,way
Aidagasse,wikidata,-,Q171277,way
Akademiestraße,wikidata,-,Q2523348,way
Akkonplatz,wikidata,-,Q126084,way
Alaudagasse,wikidata,-,Q1136322,way
Alberichgasse,wikidata,-,Q1257886,way
Albertinaplatz,wikidata,-,Q371908,way
"Altmannsdorfer Anger",wikidata,-,Q442551,way
"Altmannsdorfer Straße",wikidata,-,Q442551,way
"Am Bahnhof",wikidata,-,Q85848033,way
"Am Gestade",wikidata,-,Q896586,way
"Am Kabelwerk",wikidata,-,Q1696969,way
"Am Rosenhügel",wikidata,-,Q21859814,way
Amarantgasse,wikidata,-,Q156344,way
Antonsplatz,wikidata,-,Q607840,relation+way
Apollogasse,wikidata,-,Q619516,way
Argentinierstraße,wikidata,-,Q414,way
Aspernbrücke,wikidata,-,Q541626,way
Aspernbrückengasse,wikidata,-,Q736642,way
"Atzgersdorfer Straße",wikidata,-,Q758336,way
Auerspergstraße,wikidata,-,Q264612;Q220804,way
Augartenbrücke,wikidata,-,Q143265,way
Augustinerstraße,wikidata,-,Q693869,way
Ausstellungsstraße,wikidata,-,Q871508,way
Bankgasse,wikidata,-,Q4056136,way
Barbaragasse,wikidata,-,Q701345,way
Baumgarten-Brücke,wikidata,-,Q687025,way
Bellariastraße,wikidata,-,Q815805,way
Bergmillergasse,wikidata,-,Q89582868,way
Blindengasse,wikidata,-,Q884251,way
Bonsaigasse,wikidata,-,Q64365,way
"Breitenfelder Gasse",wikidata,-,Q906322,way
"Breitenfurter Straße",wikidata,-,Q662190,way
Bundesländerplatz,wikidata,-,Q7146024,way
Burggasse,wikidata,-,Q46242,way
Concordiaplatz,wikidata,-,Q2108920,way
"Döblinger Steg",wikidata,-,Q267360,way
Domgasse,wikidata,-,Q5943,way
Dominikanerbastei,wikidata,-,Q131479,way
Dörfelstraße,wikidata,-,Q2576216,way
Eddagasse,wikidata,-,Q108652,way
Eichenstraße,wikidata,-,Q33036816,way
Erilaweg,wikidata,-,Q1355197,way
"Erlaaer Platz",wikidata,-,Q1355197,way
"Erlaaer Straße",wikidata,-,Q1355197,way
Ernanigasse,wikidata,-,Q211279,way
Esparsette-Weg,wikidata,-,Q156932,way
Europaplatz,wikidata,-,Q8908,way
FSInf-Weg,wikidata,-,Q73219631,way
Färbergasse,wikidata,-,Q6147194,way
Fassziehergasse,wikidata,-,Q56298815,way
"Finstere Allee",wikidata,-,Q204170,way
Franz-Hauer-Platz,wikidata,-,Q20758720,way
Franziskanerplatz,wikidata,-,Q165005,relation+way
Friedensbrücke,wikidata,-,Q192924,way
Fünfhausgasse,wikidata,-,Q1481965,way
Gatterholzgasse,wikidata,-,Q1114344,way
"Gaudenzdorfer Gürtel",wikidata,-,Q1495934,way
Georgsgasse,wikidata,-,Q1508702,way
Göteborggasse,wikidata,-,Q25287,way
Graffitistraße,wikidata,-,Q17514,way
Großmarktstraße,wikidata,-,Q1549443,way
Gudrunstraße,wikidata,-,Q1257834,way
"Gumpendorfer Straße",wikidata,-,Q877873,way
Guntherstraße,wikidata,-,Q62113179,way
Gürtelbrücke,wikidata,-,Q38956584,way
Ha-Wei-Brücke,wikidata,-,Q1567437,way
"Hackinger Steg",wikidata,-,Q1526933,way
Hagengasse,wikidata,-,Q1568447,way
"Heiligenstädter Brücke",wikidata,-,Q379531,way
Herbstweg,wikidata,-,Q1314,way
"Hetzendorfer Straße",wikidata,-,Q1616329,way
Hollergasse,wikidata,-,Q131448,way
Innstraße,wikidata,-,Q14369,way
